No.	Name	Pronunciation	New_Freq
1077	爭	tsing	1674
3396	遮	tsia	1669
1384	獻	hiàn	1663
1190	候	hāu	1663
919	哭	khàu	1662
648	探	thàm	1658
620	興	hing	1656
266	寮	liâu	1650
263	桶	tháng	1650
267	盤	puânn	1650
1548	卡	khah	1648
1083	借	tsioh	1646
818	調	tiāu	1645
1354	榮	îng	1641
3176	揲	tia̍p	1641
1406	老	láu	1640
836	四	sù	1639
1267	十	si̍p	1639
1756	至	tsì	1634
632	床	tshn̂g	1634
1806	穿	tshīng	1626
1891	聖	siànn	1624
691	散	sàn	1623
1254	險	hiám	1623
694	溫	un	1622
3310	漸	tsiām	1621
522	打	tánn	1617
2984	咾	ló	1612
1151	方	hng	1611
1410	作	tsoh	1609
710	雜	tsa̍p	1608
972	未	bē	1607
972	未	buē	1607
273	廟	biō	1600
1106	答	tap	1599
821	導	tō	1596
1316	陣	tsūn	1595
884	環	khuân	1578
739	袋	tē	1578
842	男	lâm	1573
1129	熟	si̍k	1569
647	帶	tuà	1565
1299	持	tshî	1563
1335	尊	tsun	1562
2326	己	kí	1560
1830	啉	lim	1559
741	富	hù	1558
1813	庭	tîng	1556
1005	堅	kian	1553
683	根	kun	1550
683	根	kin	1550
3873	係	hē	1541
635	忠	tiong	1540
1537	𬦰	peh	1537
640	限	hān	1536
806	勢	sì	1535
749	領	niá	1526
903	命	bīng	1524
706	錄	lo̍k	1522
1328	章	tsiong	1521
3090	啊	ah	1521
963	難	lān	1520
662	獎	tsióng	1514
698	飽	pá	1511
1223	替	thuè	1511
1223	替	thè	1511
782	岸	huānn	1508
1168	育	io	1507
1544	少	tsió	1505
770	存	tsûn	1501
295	武	bú	1500
1422	宗	tsong	1500
1143	顯	hián	1494
918	值	ta̍t	1491
591	如	lû	1489
591	如	jû	1489
789	洋	iûnn	1488
898	何	hô	1488
715	刊	khan	1488
1117	歇	hioh	1485
781	孤	koo	1483
1018	註	tsù	1482
938	結	kat	1482
1182	段	tuānn	1482
658	銀	gûn	1481
658	銀	gîn	1481
684	迷	bê	1479
773	判	phuànn	1477
891	贏	iânn	1473
2344	企	khì	1468
1239	察	tshat	1467
1082	省	síng	1462
1019	象	siōng	1461
1210	淡	tām	1461
1306	研	gián	1458
815	層	tsân	1456
1353	夢	bāng	1454
1546	且	tshiánn	1452
318	齒	khí	1450
4356	愈	jú	1450
4356	愈	lú	1450
2804	又	iū	1449
797	彩	tshái	1449
622	營	iânn	1441
1092	動	tāng	1440
751	練	liān	1435
869	腦	náu	1434
2322	久	kiú	1432
697	頓	tǹg	1427
1119	達	ta̍t	1418
816	標	piau	1416
985	例	lē	1413
4283	渧	tè	1412
1079	律	lu̍t	1407
667	九	káu	1406
1010	符	hû	1402
637	東	tong	1401
342	粿	kué	1400
338	牌	pâi	1400
342	粿	ké	1400
339	猴	kâu	1400
750	劇	kio̍k	1395
1050	難	lân	1394
1049	穩	ún	1393
3533	繼	kè	1392
822	壓	ap	1390
968	分	pun	1388
2141	惠	huī	1386
1470	悲	pi	1382
1232	落	lo̍k	1381
1218	單	tan	1379
1877	越	ua̍t	1371
3151	逐	lip	1370
804	減	kiám	1370
3151	逐	jiok	1370
1332	陷	hām	1369
1938	賰	tshun	1369
995	室	sik	1367
1330	責	tsik	1364
910	長	tióng	1360
1361	際	tsè	1358
1125	魂	hûn	1354
1729	譯	i̍k	1354
2910	呵	o	1353
1436	後	hiō	1351
998	首	siú	1351
362	壽	siū	1350
1777	呼	khoo	1344
1783	抵	tí	1344
1028	葉	hio̍h	1341
2222	憐	liân	1340
674	佛	hu̍t	1340
902	呼	hoo	1337
874	廣	kóng	1337
3715	希	hi	1335
1002	純	sûn	1335
